State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,addiction_population
Minnesota,2018,438045,568703,3698785,7,65,193,2,34,65,21,27,15,55,220,506,1210
Mississippi,2018,241623,316108,1894943,3,25,89,1,11,26,11,12,4,24,78,195,479
Missouri,2018,465766,627312,4022731,8,59,199,2,26,40,22,32,11,53,204,506,1162
Montana,2018,76259,109604,712413,2,15,50,0,8,11,5,5,2,12,44,124,278
Nebraska,2018,157259,211523,1215009,3,24,64,1,13,14,9,10,4,22,73,133,370
Nevada,2018,231765,283278,2046371,4,29,121,1,21,48,13,13,10,39,123,451,873
New Hampshire,2018,94278,140227,945381,2,20,54,1,13,18,6,7,3,15,64,173,376
New Jersey,2018,675646,860848,5989388,10,72,244,2,41,76,33,40,15,78,304,651,1566
New Mexico,2018,165707,216551,1364936,3,23,68,1,11,21,11,9,5,31,77,250,510
New York,2018,1348363,2031273,13191928,22,188,645,4,131,282,67,88,47,177,782,1913,4346
North Carolina,2018,793730,1067047,6865689,12,93,341,3,55,111,42,35,17,101,329,885,2024
North Dakota,2018,54491,91846,473049,1,12,27,0,4,5,3,5,2,5,26,47,137
Ohio,2018,889700,1200403,7734940,14,114,377,3,59,109,44,62,24,106,430,1021,2363
Oklahoma,2018,318276,417957,2497934,5,42,130,1,18,34,14,17,9,36,134,328,768
Oregon,2018,295052,415291,2880798,7,51,192,2,35,67,17,21,18,55,196,718,1379
Pennsylvania,2018,910130,1292868,8675385,15,131,406,4,82,148,47,56,25,109,436,1207,2666
Rhode Island,2018,72481,122890,714973,1,15,43,0,8,12,4,6,3,12,55,145,304
South Carolina,2018,377471,504595,3407157,5,46,169,1,21,41,18,19,8,43,139,439,949
South Dakota,2018,69325,91692,557354,1,11,30,0,3,4,3,4,2,7,24,48,137
Tennessee,2018,513011,687939,4497884,8,63,205,2,25,61,24,28,11,55,203,523,1208
Texas,2018,2485959,3116800,17862401,36,259,779,11,128,207,113,127,57,271,817,1774,4579
Utah,2018,312345,406023,1821899,5,31,70,2,15,16,12,16,7,32,104,178,488
Vermont,2018,41066,73777,430733,1,9,27,0,7,10,3,4,1,9,38,100,209
Virginia,2018,629725,869285,5581639,10,82,267,2,45,80,29,34,16,61,287,518,1431
Washington,2018,545968,738052,5065742,11,75,282,3,46,95,29,41,34,89,336,1199,2240
West Virginia,2018,124659,174236,1235448,2,15,46,1,8,16,7,8,3,15,58,144,323
Wisconsin,2018,442510,615930,3861670,8,74,217,2,34,64,23,29,12,53,201,466,1183
Wyoming,2018,44908,57395,377084,1,7,22,0,3,4,2,2,2,6,18,38,105
