,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
0,2018,Alaska,0.0027368100957883535,1.66,736624,0.0009774321770672691,0.00028101175090683987
1,2018,Alabama,0.0007020157706186979,1.36,4891628,0.000997009584539135,0.00019236949334659135
2,2018,Arkansas,0.0009003502800813104,1.28,3012161,0.000966747793361643,0.0001719695593960615
3,2018,Arizona,0.0013769801854435677,1.78,7164228,0.0010107160185298403,0.00020211528722983134
4,2018,California,0.003295648099879041,1.78,39437463,0.0009927109155069128,0.00025638058918749416
5,2018,Colorado,0.0019056880144563383,1.78,5697155,0.0010073448940743231,0.0003377124196199682
6,2018,Connecticut,0.001112304420039272,1.36,3574561,0.0009548025617691236,0.0002456245676042457
7,2018,Delaware,0.0011189418656959518,1.55,966985,0.0010093227919771247,0.00023475028051107307
8,2018,Florida,0.0014598968728472637,1.66,21254926,0.0009936520127146054,0.0001849924107004654
9,2018,Georgia,0.0009029992141178542,1.45,10519389,0.000990551827677444,0.00018423123244135187
10,2018,Iowa,0.0008727261182894695,1.175,3149900,0.0009873329312041653,0.0001752436585288422
11,2018,Idaho,0.0011483533229760844,1.95,1752074,0.0010079482944213543,0.00018435294399665768
12,2018,Illinois,0.0008364057735024482,1.175,12724685,0.000989415455078063,0.00021155729984671527
13,2018,Indiana,0.0007849540813805398,1.175,6698481,0.0009826108337099113,0.00020885332062597475
14,2018,Kansas,0.0007607935873614882,1.175,2912748,0.0009733076805820483,0.00019019839684037204
15,2018,Kentucky,0.0008261143527736767,1.175,4464273,0.000995682835704716,0.00019331255055414398
16,2018,Louisiana,0.0006558115104674721,1.36,4664450,0.0009668878431540696,0.00016958055076161176
17,2018,Massachusetts,0.0029144374154046345,1.175,6885720,0.00099960497958093,0.0002779665743015981
18,2018,Maryland,0.0011823599965111774,1.95,6042153,0.0009979886308737961,0.00019893571049922105
19,2018,Maine,0.0018774396081553707,1.66,1340123,0.000985730414297792,0.0002962414644028944
20,2018,Michigan,0.0008361630977624953,1.175,9987286,0.000992561943254654,0.00025452360130670136
21,2018,Minnesota,0.001291372320665416,1.28,5608762,0.001024468501248582,0.00021573388209376686
